fiscal_year,source_locator,major_no,major_title,item_no,proposal_text
2021,2021-01-01,1,行政の透明化推進と情報発信の充実強化,1,（仮称）公文書管理条例を策定し、デジタル化など公文書管理を徹底すること。また、公共施設再編と合わせた公文書館機能整備を行うこと。
2021,2021-01-02,1,行政の透明化推進と情報発信の充実強化,2,管理職の率先的庁内テレワークの推進及び意識改革研修。
2021,2021-01-03,1,行政の透明化推進と情報発信の充実強化,3,新しいネットワークの構築と端末の整備。
2021,2021-02-01,2,持続可能な行財政運営とコンプライアンスの徹底,1,学校給食公会計化実施に向けたタイムスケジュール構築。
2021,2021-03-01,3,「学びのチカラ日本一」に向けた学校教育環境の充実および地域・家庭との連携,1,修繕の追い付かない小学校体育館の建替えを含めた整備の計画年度内の確実な実施。
2021,2021-03-02,3,「学びのチカラ日本一」に向けた学校教育環境の充実および地域・家庭との連携,2,スクール・サポート・スタッフの配置が不充分なため、さらなる拡充。
2021,2021-03-03,3,「学びのチカラ日本一」に向けた学校教育環境の充実および地域・家庭との連携,3,オンライン学習双方向講座の推進。
2021,2021-04-01,4,すべての子どもと若者に夢とチャンスを,1,児童センターを活用した中高生の居場所支援の項目と予算を含んだ委託の実施。
2021,2021-04-02,4,すべての子どもと若者に夢とチャンスを,2,一部給付型奨学金の給付額の増額。
2021,2021-04-03,4,すべての子どもと若者に夢とチャンスを,3,外国ルーツの子どもと保護者に対する支援策の拡充。
2021,2021-05-01,5,社会全体で子育てを支えるまち,1,学習支援教室については、貧困の連鎖を断ち切り、子どもたちが将来に向けて自立の力を養えるよう、学習支援の充実をはかること。
2021,2021-05-02,5,社会全体で子育てを支えるまち,2,助産師や大学生などの外部人材を活用し、学校教育として「生と性の学習」を全校で実施すること。
2021,2021-05-03,5,社会全体で子育てを支えるまち,3,児童養護関係施設について、国の動向を踏まえた小規模化を進める際には、入所する子供たちや担い手の団体の状況を確認しながら進めること。
2021,2021-05-04,5,社会全体で子育てを支えるまち,4,北部児童相談所・一時保護所の新設。
2021,2021-06-01,6,「待機児童ゼロ」を目指した保育施設の拡充,1,認可保育園の整備促進と運営費補助並びに人件費補助の拡充。
2021,2021-06-02,6,「待機児童ゼロ」を目指した保育施設の拡充,2,認可外保育施設の安全性の拡充。
2021,2021-07-01,7,放課後児童クラブの施設、環境の充実,1,国の補助金を最大限活用した委託料の抜本的改革を行うこと。
2021,2021-07-02,7,放課後児童クラブの施設、環境の充実,2,放課後児童クラブについて、公有地、公有施設及び学校の余裕教室のさらなる活用促進。
2021,2021-07-03,7,放課後児童クラブの施設、環境の充実,3,放課後児童クラブ入室事務に関する保護者負担の軽減。
2021,2021-08-01,8,子どもの権利・健康・安全対策の拡充,1,「さいたまキッズな City 宣言」の普及・啓発活動の中間総括を踏まえた（仮称）子ども条例制定に向けた庁内検討の開始。
2021,2021-08-02,8,子どもの権利・健康・安全対策の拡充,2,通学路への防犯カメラの設置促進。
2021,2021-09-01,9,生涯に渡って学びたいときに学べる場の提供,1,公民館の事業費の増額、セキュリティーを考慮して、公民館全職員への端末の増設。
2021,2021-09-02,9,生涯に渡って学びたいときに学べる場の提供,2,公民館の Wi-Fi 全館設置。
2021,2021-10-01,10,歳を重ねても障害があっても地域で暮らせるまち,1,手話通訳者の養成を拡充し、専門職としての位置づけを明確にし、聴覚障害者の社会生活を保障すること。
2021,2021-10-02,10,歳を重ねても障害があっても地域で暮らせるまち,2,重度障害者日常生活用具給付事業における紙おむつの給付要件の緩和を行うこと。
2021,2021-11-01,11,地域医療体制の充実,1,医療用ウイッグの助成制度の創設等アピアランスの充実。
2021,2021-11-02,11,地域医療体制の充実,2,がん検診指針を踏まえた科学的根拠に基づくがん検診以外のがん検診にない市独自のがん検診の廃止を含めた検討。
2021,2021-11-03,11,地域医療体制の充実,3,若年者がん患者在宅ターミナルケア制度の創設。
2021,2021-11-04,11,地域医療体制の充実,4,病院における市内発熱者の屋外での対応について、簡易プレハブ等の設置を市として行うこと。
2021,2021-12-01,12,障害者医療・介護の充実と社会参加への支援,1,精神障害者アウトリーチ事業の拡大のための精神科医師の確保と１０区へのアウトリーチの拡大。
2021,2021-12-02,12,障害者医療・介護の充実と社会参加への支援,2,精神障害者福祉手帳２級所持者に対して、１級と同様に通院及び入院費用の早期の助成実現。
2021,2021-12-03,12,障害者医療・介護の充実と社会参加への支援,3,さいたま市立病院に総合心療科の初診外来および精神科の創設。
2021,2021-12-04,12,障害者医療・介護の充実と社会参加への支援,4,障害者政策委員会での検討状況を踏まえた手話言語・障害者コミュニケーション条例の策定。
2021,2021-12-05,12,障害者医療・介護の充実と社会参加への支援,5,ケアラー支援について関係条例設置や専門部署の設置（高齢・障害・児童・教育ほか部局横断）、各種支援策に着手また拡充すること。
2021,2021-12-06,12,障害者医療・介護の充実と社会参加への支援,6,在宅介護支援センターの機能見直しと、ケアラー支援専門の相談窓口開設。
2021,2021-13-01,13,貧困をなくすため生活困窮者への自立支援政策の強化・拡充,1,生活自立・仕事相談センターの機能強化と相談員の増員や待遇改善。また、相談者に対し住宅等の長期的対応をすること。
2021,2021-13-02,13,貧困をなくすため生活困窮者への自立支援政策の強化・拡充,2,ひとり親家庭の抱える困難を解決し、施策の効果を上げていくため、子どもの貧困調査結果を掘り下げたひとり親家庭の実態調査（対象者すべて）の実施とニーズに対応した施策の拡充。
2021,2021-14-01,14,産前・産後ケアに対する施策の充実,1,さいたま市委託業務である産婦新生児訪問、産後ケア事業についての委託契約金の値上げ。
2021,2021-14-02,14,産前・産後ケアに対する施策の充実,2,宿泊型産後ケア事業の推進にあたっては、利用家族が安心して経済的な負担を負うことなく、受託する助産院等も十分なケアが展開できるよう配慮すること。
2021,2021-14-03,14,産前・産後ケアに対する施策の充実,3,妊娠期から小学校入学前までの切れ目のない保健相談システムについては、保健部門と子育て支援部門への十分な人員配置を行い連携強化し、支援を充実させていくために、さいたま版ネウボラとしての拠点を整備すること。
2021,2021-15-01,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,1,文化芸術都市創造条例に基づき、東日本の玄関口としてふさわしい、市内外から多くの人が訪れる文化芸術の拠点整備。
2021,2021-15-02,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,2,民間力の活用による屋内スポーツ施設（スケートパーク等）の整備及びアーバンスポーツの推進。
2021,2021-15-03,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,3,障害者のスポーツ実施率（現在２０％）を１年後の目標７０％に近づけるための実施率向上の施策。
2021,2021-15-04,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,4,市内の障害者のスポーツ実施率の新規調査。
2021,2021-15-05,15,誰もが健康で心豊かに文化・スポーツにふれあえるまち,5,スポーツ文化関係の事業は、これまでの成果や効果を検証し、スクラップ＆ビルドを心がけること。
2021,2021-16-01,16,多様な個性・価値観と人権が尊重されるまち,1,市長公約「ダイバーシティとインクルージョン推進」を受けた、人種・民族および性的少数者等への差別禁止の条例化に向けた審議会設置。
2021,2021-16-02,16,多様な個性・価値観と人権が尊重されるまち,2,「多文化共生」担当の経済局から市民局への組織改編。
2021,2021-17-01,17,暴力を許さないドメスティック・バイオレンス対策の充実強化,1,ＤＶ被害者への安全確保と自立生活に向けた支援の充実については、民間シェルターへの支援充実と連携強化を図り、ひとり親家庭等への支援施策との連携強化を図ること。
2021,2021-18-01,18,エネルギーの地産地消の推進とみどり豊かな都市の創造,1,電力の入札評価に価格以外の再生可能エネルギー利用率や再生可能エネルギー利用量などの視点を評価する総合評価方式を取り入れること。
2021,2021-18-02,18,エネルギーの地産地消の推進とみどり豊かな都市の創造,2,再エネ 100 宣言 RE Action を進めていくためにも東日本連携等で広域的再生可能エネルギー電力供給 100％のまちづくりを目指す。
2021,2021-18-03,18,エネルギーの地産地消の推進とみどり豊かな都市の創造,3,SDGs の理念を生かし食品ロス削減に向けた「フードシェア・マイレージ」事業を全区で実施し、浸透させること。
2021,2021-19-01,19,災害時に命と暮らしをまもる地区防災力の強化向上,1,災害時要配慮者安全確保対策の要員として助産師が積極的に活動できるよう助産師会と担当部局との定期的な協議会の実施。
2021,2021-19-02,19,災害時に命と暮らしをまもる地区防災力の強化向上,2,内水氾濫を制御するため、水のうを利用した道路・公園等への一時貯留のモデル事業の実施。
2021,2021-20-01,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,1,自転車を活用したまちづくりを推進するための拠点施設「サイクルパーク」の整備。
2021,2021-20-02,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,2,まちづくりビジョン市民案を踏まえた西浦和駅周辺のまちづくりの更なる推進。
2021,2021-20-03,20,暮らしを支える活力を生み出す交通体系の構築と都市基盤整備,3,高齢者・障害者等の移動支援の拡充。
